date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:56:31%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fpersonal-hygiene-for-kids-in-4-steps.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Don%E2%80%99t%20know%20where%20to%20start%20when%20it%20comes%20to%20hygiene%20for%20kids%3F%20Here%E2%80%99s%20our%20go-to%20guide.%20&media=https://www.cleanipedia.com/images/v2/8b561ee01017abb3be4f32960b7df056-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/index54b9.html	(from https://www.cleanipedia.com/gb/family/personal-hygiene-for-kids-in-4-steps.html)
21:26:30	159438/159438	---M--	200	added ('OK')	image/jpeg	etag:%2229f718de231cbd574618c9378288764a%22	https://www.cleanipedia.com/images/v2/8833f7803f1f1f22f6ca7c93d3e6764b-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/8833f7803f1f1f22f6ca7c93d3e6764b-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/playroom-ideas-kids-will-dream-about.html)
21:26:30	49730/49730	---M--	200	added ('OK')	image/jpeg	etag:%224a697bc29cd8dbbfc9c18cc28ff0fb5a%22	https://www.cleanipedia.com/images/v2/8b561ee01017abb3be4f32960b7df056-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/8b561ee01017abb3be4f32960b7df056-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/personal-hygiene-for-kids-in-4-steps.html)
21:26:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:56:32%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fpotty-training-steps-and-tips-for-an-easy-transition.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Try%20these%20easy%20potty%20training%20steps%20and%20create%20a%20potty%20training%20reward%20chart%20to%20help%20your%20kids%20through%20this%20big%20milestone.&media=https://www.cleanipedia.com/images/v2/1892d9166b85dc18209b63f002fca762-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/index608c.html	(from https://www.cleanipedia.com/gb/family/potty-training-steps-and-tips-for-an-easy-transition.html)
21:26:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:56:34%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fpreparing-your-hospital-bag-for-labour.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Is%20your%20due%20date%20just%20around%20the%20corner%3F%20Start%20preparing%20for%20labour%20with%20our%20hospital%20bag%20checklist%20for%20birth%20and%20handy%20tips.&media=https://www.cleanipedia.com/images/v2/fde90a521b9a072962579bbacbc19a4e-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/indexf1a5.html	(from https://www.cleanipedia.com/gb/family/preparing-your-hospital-bag-for-labour.html)
21:26:33	90297/90297	---M--	200	added ('OK')	image/jpeg	etag:%22508d0a1d0f29b3b6dd84d63f9b1996fb-1%22	https://www.cleanipedia.com/images/v2/1892d9166b85dc18209b63f002fca762-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/1892d9166b85dc18209b63f002fca762-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/potty-training-steps-and-tips-for-an-easy-transition.html)
21:26:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:56:35%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Frainy-day-games-for-kids-and-how-to-clean-wellies-afterwards.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Browse%20our%20rainy%20day%20ideas%20for%20kids%20and%20suggestions%20on%20how%20to%20keep%20kids%20entertained%20in%20all%20weathers.%20%20%20%20&media=https://www.cleanipedia.com/images/v2/78b357a8738a44b9b1ca026bbf2bfa35-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/indexc1b6.html	(from https://www.cleanipedia.com/gb/family/rainy-day-games-for-kids-and-how-to-clean-wellies-afterwards.html)
21:26:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:56:35%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fstudent-blues-uni-room-ideas-to-make-halls-feel-like-home.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=This%20article%20gives%20some%20simple%20student%20bedroom%20ideas%20that%20are%20quick%20and%20easy%20to%20implement%20and%20will%20help%20your%20new%20place%20feel%20like%20home.&media=https://www.cleanipedia.com/images/v2/abe0992b285617bc8a66f0c941aaa151-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/indexc478.html	(from https://www.cleanipedia.com/gb/family/student-blues-uni-room-ideas-to-make-halls-feel-like-home.html)
21:26:34	73722/73722	---M--	200	added ('OK')	image/jpeg	etag:%2218d33ab7334bc168b338bf7b86a67010%22	https://www.cleanipedia.com/images/v2/78b357a8738a44b9b1ca026bbf2bfa35-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/78b357a8738a44b9b1ca026bbf2bfa35-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/rainy-day-games-for-kids-and-how-to-clean-wellies-afterwards.html)
21:26:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:56:36%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fthe-ultimate-personal-hygiene-checklist-for-adults.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=A%20comprehensive%20daily%20personal%20hygiene%20checklist%20ensures%20you%20stay%20clean%2C%20confident%20and%20healthy.%20&media=https://www.cleanipedia.com/images/v2/7c31486e751ba1840fe908ec5405a22b-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/index3406.html	(from https://www.cleanipedia.com/gb/family/the-ultimate-personal-hygiene-checklist-for-adults.html)
21:26:36	50324/50324	---M--	200	added ('OK')	image/jpeg	etag:%2201c509d37fbf4f052af30e56692dde30-1%22	https://www.cleanipedia.com/images/v2/7c31486e751ba1840fe908ec5405a22b-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/7c31486e751ba1840fe908ec5405a22b-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/the-ultimate-personal-hygiene-checklist-for-adults.html)
21:26:36	123330/123330	---M--	200	added ('OK')	image/jpeg	etag:%2279fef404f8c85d3163941d8e187e4790-1%22	https://www.cleanipedia.com/images/v2/abe0992b285617bc8a66f0c941aaa151-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/abe0992b285617bc8a66f0c941aaa151-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/student-blues-uni-room-ideas-to-make-halls-feel-like-home.html)
21:26:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Feb%202020%2015:56:38%20GMT	http://www.pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.cleanipedia.com%2Fgb%2Ffamily%2Fbenefits-of-father-baby-bonding-in-your-first-trimester.html%3Futm_source%3Dpinterest%26utm_medium%3Dsocial%26utm_campaign%3Dshareurlbuttons&description=Becoming%20a%20new%20dad%20is%20exciting%20so%20we're%20sharing%20top%20tips%20for%20father-baby%20bonding%20with%20your%20newborn.&media=https://www.cleanipedia.com/images/v2/9e30636c9a87a8bd4e66b4217423f87c-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.pinterest.com/pin/create/button/indexd281.html	(from https://www.cleanipedia.com/gb/family/benefits-of-father-baby-bonding-in-your-first-trimester.html)
21:26:38	31959/31959	---M--	200	added ('OK')	image/jpeg	etag:%22d2ca074ecec965f6a8f668142454e1f0%22	https://www.cleanipedia.com/images/v2/9e30636c9a87a8bd4e66b4217423f87c-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/9e30636c9a87a8bd4e66b4217423f87c-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/benefits-of-father-baby-bonding-in-your-first-trimester.html)
21:26:40	52385/52385	---M--	200	added ('OK')	image/jpeg	etag:%22d921a3ca130a96131996c4f2caf028ec%22	https://www.cleanipedia.com/images/v2/732275c2ae465f16ac20d2ddbeec86dd-1800w-1200h.jpg	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/images/v2/732275c2ae465f16ac20d2ddbeec86dd-1800w-1200h.jpg	(from https://www.cleanipedia.com/gb/family/laundry-problems.html)
